country,countrycode,gold,silver,bronze,total,aquaticsgold,aquaticssilver,aquaticsbronze,artswimgold,artswimsilver,artswimbronze,divinggold,divingsilver,divingbronze,swimminggold,swimmingsilver,swimmingbronze,pologold,polosilver,polobronze,archerygold,archerysilver,archerybronze,athleticsgold,athleticssilver,athleticsbronze,fieldgold,fieldsilver,fieldbronze,trackgold,tracksilver,trackbronze,badmintongold,badmintonsilver,badmintonbronze,baseballgold,baseballsilver,baseballbronze,softballgold,softballsilver,softballbronze,basketballgold,basketballsilver,basketballbronze,threegold,threesilver,threebronze,boxinggold,boxingsilver,boxingbronze,canoeinggold,canoeingsilver,canoeingbronze,slalomgold,slalomsilver,slalombronze,sprintgold,sprintsilver,sprintbronze,cyclinggold,cyclingsilver,cyclingbronze,bmxfreegold,bmxfreesilver,bmxfreebronze,bmxracinggold,bmxracingsilver,bmxracingbronze,mountbikegold,mountbikesilver,mountbikebronze,roadcyclinggold,roadcyclingsilver,roadcyclingbronze,trackcyclinggold,trackcyclingsilver,trackcyclingbronze,equestriangold,equestriansilver,equestrianbronze,dressagegold,dressagesilver,dressagebronze,eventinggold,eventingsilver,eventingbronze,jumpinggold,jumpingsilver,jumpingbronze,fencinggold,fencingsilver,fencingbronze,hockeygold,hockeysilver,hockeybronze
Denmark,DK,1.6,1.7,1.9,5.2,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.5,0.4,0,0,0,0.3,0.5,0.4,0.8,0.9,0.9,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.7,0.7,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,CU,1.4,1.5,1.7,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.8,0.9,0.9,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.5,0.2,0.3,0.3,0,0,0,0.2,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,ZA,1.2,1.2,1.3,3.7,0.5,0.4,0.3,0,0,0,0,0,0,0.5,0.4,0.3,0,0,0,0,0,0,0.4,0.6,0.6,0.2,0.3,0.3,0.2,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0.2,0,0,0,0,0,0,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,SI,1.2,1.2,1,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.9,0.8,0.7,0.5,0.5,0.5,0.4,0.3,0.2,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,RS,1,1,0.9,2.9,0.2,0.3,0.2,0,0,0,0,0,0,0,0,0,0.2,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.3,0.2,0,0,0,0.3,0.4,0.4,0,0,0,0.3,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hong Kong, China",HK,0.9,0.9,1,2.8,0.2,0.2,0.3,0,0,0,0,0,0,0.2,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0,0,0
Norway,NO,0.8,0.9,0.9,2.6,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0.8,0.8,0.7,0,0.1,0.1,0.8,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,TH,0.9,0.8,0.8,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,ID,0.8,0.7,0.7,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,BH,0.7,0.7,0.7,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.6,0.6,0,0,0,0.7,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,UG,0.7,0.6,0.6,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.6,0.6,0,0,0,0.7,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,SK,0.7,0.6,0.6,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.5,0.4,0.3,0.2,0.2,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,EE,0.6,0.5,0.5,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.5,0.4,0.6,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Venezuela,VE,0.5,0.4,0.3,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.3,0.2,0.4,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
